IdVenta,DocuVenta,Fecha,Total,SubTotal,IGV,IdVendedor,IdCliente
192,B/001-001020,2018-01-16 00:00:00,19,15.970000000000001,3.0299999999999998,3,2
193,B/001-001021,2018-01-16 00:00:00,5,4.2000000000000002,0.80000000000000004,3,11
194,B/001-001022,2018-01-16 00:00:00,41,34.450000000000003,6.5499999999999998,3,11
195,B/001-001023,2018-01-16 00:00:00,6,5.04,0.95999999999999996,3,11
196,B/001-001024,2018-01-16 00:00:00,10.5,8.8200000000000003,1.6799999999999999,3,12
197,B/001-001025,2018-01-16 00:00:00,11.5,9.6600000000000001,1.8400000000000001,3,12
198,B/001-001026,2018-01-18 00:00:00,33,27.73,5.2699999999999996,2,13
199,B/001-001027,2018-01-18 00:00:00,15,12.609999999999999,2.3999999999999999,2,14
200,B/001-001028,2018-01-18 00:00:00,29,24.370000000000001,4.6299999999999999,2,12
201,B/001-001029,2018-01-18 00:00:00,31.5,26.469999999999999,5.0300000000000002,2,13
202,B/001-001030,2018-01-18 00:00:00,86,72.269999999999996,13.73,2,21
203,B/001-001031,2018-01-18 00:00:00,16,13.449999999999999,2.5600000000000001,2,21
204,B/001-001032,2018-01-18 00:00:00,32,26.890000000000001,5.1100000000000003,2,21
205,B/001-001033,2018-01-18 00:00:00,8,6.7199999999999998,1.28,3,23
206,B/001-001034,2018-01-18 00:00:00,10.5,8.8200000000000003,1.6799999999999999,2,24
207,B/001-001035,2018-01-18 00:00:00,45,37.82,7.1900000000000004,3,25
208,B/001-001036,2018-01-18 00:00:00,15,12.609999999999999,2.3999999999999999,2,25
209,B/001-001038,2018-01-18 00:00:00,6,5.04,0.95999999999999996,3,23
210,B/001-001039,2018-01-18 00:00:00,30,25.210000000000001,4.79,3,26
211,B/001-001040,2018-01-18 00:00:00,9,7.5599999999999996,1.4399999999999999,2,26
212,B/001-001041,2018-01-18 00:00:00,32,26.890000000000001,5.1100000000000003,3,23
213,B/001-001042,2018-01-18 00:00:00,11.5,9.6600000000000001,1.8400000000000001,3,23
214,B/001-001043,2018-01-18 00:00:00,27,22.690000000000001,4.3099999999999996,3,12
215,B/001-001045,2018-01-18 00:00:00,7,5.8799999999999999,1.1200000000000001,3,23
216,B/001-001046,2018-01-18 00:00:00,19,15.970000000000001,3.0299999999999998,3,12
217,B/001-001047,2018-01-18 00:00:00,43,36.130000000000003,6.8600000000000003,3,23
218,B/001-001048,2018-01-18 00:00:00,24,20.170000000000002,3.8300000000000001,3,23
219,B/001-001049,2018-01-18 00:00:00,4,3.3599999999999999,0.64000000000000001,2,23
220,B/001-001050,2018-01-19 00:00:00,36.5,30.670000000000002,5.8300000000000001,3,12
221,B/001-001052,2018-01-19 00:00:00,6,5.04,0.95999999999999996,3,12
222,B/001-001053,2018-01-19 00:00:00,68,57.140000000000001,10.859999999999999,3,23
223,B/001-001054,2018-01-19 00:00:00,5.0099999999999998,4.21,0.80000000000000004,3,23
224,B/001-001055,2018-01-19 00:00:00,6,5.04,0.95999999999999996,3,12
225,B/001-001056,2018-01-19 00:00:00,6,5.04,0.95999999999999996,3,11
226,B/001-001057,2018-01-19 00:00:00,12,10.08,1.9199999999999999,3,12
227,B/001-001058,2018-01-19 00:00:00,9.5,7.9800000000000004,1.52,3,12
228,B/001-001059,2018-01-19 00:00:00,6,5.04,0.95999999999999996,3,12
229,B/001-001060,2018-01-19 00:00:00,50,42.020000000000003,7.9800000000000004,3,3
230,B/001-001061,2018-01-19 00:00:00,50,42.020000000000003,7.9800000000000004,3,4
231,B/001-001064,2018-01-19 00:00:00,18,15.130000000000001,2.8700000000000001,3,5
232,B/001-001065,2018-01-20 00:00:00,78.810000000000002,66.230000000000004,12.58,2,6
233,B/001-001067,2018-01-20 00:00:00,59.770000000000003,50.229999999999997,9.5399999999999991,2,5
234,B/001-001068,2018-01-20 00:00:00,10,8.4000000000000004,1.6000000000000001,3,6
235,B/001-001069,2018-01-20 00:00:00,8,6.7199999999999998,1.28,2,7
236,B/001-001070,2018-01-20 00:00:00,8.3000000000000007,6.9699999999999998,1.3200000000000001,3,8
237,B/001-001071,2018-01-20 00:00:00,12,10.08,1.9199999999999999,3,7
238,B/001-001072,2018-01-20 00:00:00,13.5,11.34,2.1499999999999999,3,8
239,B/001-001073,2018-01-20 00:00:00,10,8.4000000000000004,1.6000000000000001,3,9
240,B/001-001074,2018-01-20 00:00:00,22,18.489999999999998,3.5099999999999998,3,8
241,B/001-001075,2018-01-20 00:00:00,22,18.489999999999998,3.5099999999999998,3,7
242,B/001-001076,2018-01-20 00:00:00,5,4.2000000000000002,0.80000000000000004,3,8
243,B/001-001077,2018-01-20 00:00:00,10,8.4000000000000004,1.6000000000000001,3,7
244,B/001-001078,2018-01-20 00:00:00,23,19.329999999999998,3.6699999999999999,3,8
245,B/001-001079,2018-01-20 00:00:00,5,4.2000000000000002,0.80000000000000004,3,8
246,B/001-001080,2018-01-20 00:00:00,8,6.7199999999999998,1.28,2,8
